State,All_Percent,All_People,White_Percent,White_People,Blcak_Percent,Black_People,Native_Percent,Native_People,Asian_Percent,Asian_People,Hispanic_Percent,Hispanic_People
Alabama,87.3,2551999,90.1,1704834,85.3,638044,83.3,10500,89.9,45608,64.4,101380
Alaska,85.3,371125,89.5,238972,81.8,12086,72.6,33303,85.8,26299,73.3,23570
Arizona,86.2,3690186,91.8,2012569,87.4,190036,75.4,92976,92.4,170537,77.3,1099762
Arkansas,87.7,1535328,90.5,1117161,87.1,220876,82.5,8652,90.2,31451,68,112919
California,91,21646886,95.4,7454149,92.9,1199553,87.2,58280,95.2,3634108,85.3,8352387
Colorado,90.8,3320582,93.9,2269287,90.6,134668,88.5,14650,93.5,130027,80.9,656199
Connecticut,92.1,1969760,95.2,1257263,92,216873,91.4,2944,94.9,110930,81.3,332685
Delaware,91,529719,94,315621,90.6,119582,89.1,1094,93.6,26383,75.4,49968
District of Columbia,96.5,418918,98.1,176461,95.8,156401,95.4,562,97.6,23411,92.1,47437
Florida,84.5,10979148,88,5556184,83.7,1659199,80.6,20065,89.5,389298,78.8,3085287
Georgia,84,5500667,87.9,2835529,85.1,1765623,78.9,8645,88.9,297947,61.6,453475
Hawaii,95.6,842518,96,166705,94.7,16807,94.2,1234,97,281261,91.6,73889
Idaho,87.3,985014,89.4,802878,86.2,8076,82.9,7078,90.2,18147,75.3,118347
Illinois,91.2,6801198,94.7,4094261,91.2,901786,89.4,7309,93.4,452846,80.3,1191637
Indiana,90.9,3624203,92.5,2802262,89,339320,88.4,5991,91.8,112312,78.6,276184
Iowa,93,1700445,94.7,1430779,88.3,67186,89.6,3742,93.1,51619,77.6,106857
Kansas,88.3,1487374,91.4,1125813,85.2,78616,82.6,8506,89.5,52186,72.9,170405
Kentucky,92.4,2430896,93.7,2036217,90.4,190975,88.6,3527,92.8,46327,74.8,96521
Louisiana,90,2339592,92.7,1392257,89.8,712449,85.5,11004,90.4,48126,69.7,130743
Maine,91.2,734769,91.7,673864,87.7,13909,86,3250,91.6,11241,79.2,15408
Maryland,91.8,3354099,95.9,1634873,92.7,1017182,89.9,5519,94.1,247841,72.6,336472
Massachusetts,96.5,4063608,97.4,2780371,95.4,303334,95.4,4977,97.2,341026,92,530512
Michigan,93.6,5500277,94.7,4086565,92.3,708094,88.3,21918,94.7,216337,83.6,299145
Minnesota,94.2,3160487,95.8,2468322,90.6,219976,85.5,20640,94.2,182619,80.5,175540
Mississippi,85,1403344,87.7,813469,82.9,504597,77.7,5100,86,18583,65.2,40518
Missouri,89.5,3214255,90.8,2542264,86.2,338904,84.2,10049,91.5,82972,76.1,145383
Montana,88.1,571424,89.5,496941,84.3,3319,74.4,20082,88.2,6796,75.9,23569
Nebraska,91.2,1033003,93.9,810402,87.9,49116,85,5573,92.2,31484,76.3,109568
Nevada,85.4,1656314,90.7,776215,87.9,161663,83.1,9801,90.6,166297,74.9,445305
New Hampshire,93.2,781402,93.9,689264,89.9,12700,90.4,1136,93.7,26583,82.6,34714
New Jersey,89.9,4962691,95.3,2663648,90.8,645010,89,4969,94.7,573416,75.2,969780
New Mexico,86.1,1024008,92.2,386966,89,22615,76.7,65933,92.5,22724,82.6,500192
New York,93.2,10843757,95.8,5885726,93.4,1540430,90.7,22478,93.8,1082981,85.8,2035556
North Carolina,86.8,5511833,90.6,3503575,87.1,1134228,79.3,38416,92.2,227096,64,459801
North Dakota,93.7,417388,94.7,352120,90.8,14965,87.9,12887,93.5,8000,83.9,17983
Ohio,91.6,6260195,92.9,4877183,89.6,751825,87.8,8404,92.6,191929,76.5,252342
Oklahoma,83.4,1944602,88.3,1299324,84.2,140075,68.1,101187,87,57064,65.5,191569
Oregon,91.9,2344505,93.9,1706679,92.6,49891,88.6,17934,94.8,132774,81,312090
Pennsylvania,92.9,6927890,94.5,5185651,90.7,713745,90.2,6969,93.8,309800,82.1,553805
Rhode Island,94.1,614765,96.3,429516,94.2,39949,93.1,1795,95.9,23651,85.2,101727
South Carolina,87,2673966,89.9,1741340,86.3,654466,81.3,6962,89.2,60295,64.8,150031
South Dakota,88.8,449869,91.7,380928,80,10281,67.2,18860,87.9,9077,72.7,18176
Tennessee,86.9,3658948,89.6,2731280,85.8,563003,82.2,7422,89.5,83565,61.8,187993
Texas,78.4,14313506,87.6,6234818,82.4,1864406,76.6,34165,89.1,1000278,66.3,4847453
Utah,89.7,1833847,93.2,1438157,85.6,22301,83.2,11434,91.8,55095,73.8,236685
Vermont,94.6,355003,95,322920,92,5238,91.8,809,94.3,8200,85,8848
Virginia,91.4,4716996,94.4,2846098,91.1,863563,88.1,8693,94,377417,75,446698
Washington,91.1,4368894,94,2833303,89.9,184755,84.3,35148,94.6,516925,76.2,515907
West Virginia,91,915355,91.3,835855,88.6,30148,87.5,1374,92,9390,80.1,18368
Wisconsin,93.4,3227978,95.1,2619342,90.1,182733,86.5,19114,93.6,113085,79.6,221120
Wyoming,84.4,282570,87,241733,78.4,2742,73.6,3758,85,3542,66.4,23662

